Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Shen Flindell,50+,2023FLIN02,11,11,54:16,https://www.facebook.com/events/818624484139424/permalink/819059637429242,
Toby Chamberlain,50+,2022CHAM03,9,5,40:08,https://www.facebook.com/events/818624484139424/permalink/823128513689021,
