Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Doug Li,40+,2003LIDO01,22,24,25,22,23.67,https://www.facebook.com/events/1333469884550778/permalink/1342017423696024,
Shen Flindell,50+,2023FLIN02,37,35,51,35,41.00,https://www.facebook.com/events/1333469884550778/permalink/1339631683934598,
Kristina Lim,50+,2022LIMK02,38,37,49,37,41.33,https://www.facebook.com/events/1333469884550778/permalink/1341840687047031,
Lisa Kucala,60+,2019KUCA01,71,59,69,59,66.33,https://www.facebook.com/events/1333469884550778/permalink/1337213517509748,
