Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,13.36,13.44,DNF,14.39,8.54,8.54,13.73,https://www.facebook.com/events/3090201184445880/permalink/3095276823938316,
Daniel Houghton,40+,2016HOUG03,14.44,12.53,15.26,17.14,13.71,12.53,14.47,https://www.facebook.com/events/3090201184445880/permalink/3095012990631366,
Chris Wright,50+,2011WRIG01,14.50,17.59,16.12,12.93,13.60,12.93,14.74,https://www.facebook.com/events/3090201184445880/permalink/3097679007031431,
Toby Chamberlain,50+,2022CHAM03,17.10,16.68,16.67,17.04,17.27,16.67,16.94,https://www.facebook.com/520891933/videos/931953468508879,
Ed Connell,<40,2018CONN04,25.29,15.76,18.68,16.27,19.92,15.76,18.29,https://www.facebook.com/events/3090201184445880/permalink/3102242756575056,
Dan Smith,50+,2018SMIT42,21.10,22.80,23.44,22.21,36.93,21.10,22.82,https://www.facebook.com/events/3090201184445880/permalink/3100596110073054,
Mickey Doyle,50+,2021DOYL02,24.54,23.60,23.57,27.92,24.74,23.57,24.29,https://www.facebook.com/events/3090201184445880/permalink/3102057596593572,
Gordon Holey,40+,2021HOLE01,27.31,19.89,27.00,26.61,25.19,19.89,26.27,https://www.facebook.com/766997877/videos/203588686146311,
Lisa Kucala,50+,2019KUCA01,24.12,30.88,28.02,42.92,23.79,23.79,27.67,https://www.facebook.com/events/3090201184445880/permalink/3102349779897687,
Joe Kucala,60+,2022KUCA01,35.72,35.76,42.75,48.55,49.94,35.72,42.35,https://www.facebook.com/events/3090201184445880/permalink/3102290493236949,PR Average
Kristina Lim,50+,2022LIMK02,1:25.56,40.86,44.70,48.70,35.14,35.14,44.75,https://www.facebook.com/1045330593/videos/1114602242866803,
