Name,Age,WCA ID,Solve 1 7,Solve 2 7,Solve 3 7,Solve 4 5,Solve 5 5,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,21.07,24.81,26.38,20.92,21.32,20.92,22.40,https://www.facebook.com/events/1519602439581845/permalink/1526752472200175,
Toby Chamberlain,50+,2022CHAM03,53.49,1:05.18,39.84,58.20,45.77,39.84,52.49,https://www.facebook.com/events/1519602439581845/permalink/1527677072107715,
