Name,Age,WCA ID,Solve 1 12,Solve 2 12,Solve 3 12,Solve 4 10,Solve 5 10,Best,Average,Link,Comment
Danielle Kay,40+,2023KAYD01,12.30,9.62,9.16,10.01,10.85,9.16,10.16,https://www.facebook.com/events/1599779991315441/permalink/1605070117453095,
Shen Flindell,50+,2023FLIN02,10.19,10.10,10.51,10.67,10.62,10.10,10.44,https://www.facebook.com/events/1599779991315441/permalink/1608737997086307,
Veronika Rose,40+,2024ROSE02,13.08,14.67,14.01,13.17,DNF,13.08,13.95,https://www.facebook.com/events/1599779991315441/permalink/1605228240770616,
