Name,Age,WCA ID,Solve 1 6,Solve 2 6,Solve 3 6,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,4:30.00,4:18.01,4:17.67,4:17.67,4:21.89,https://www.facebook.com/events/1316158743726095/permalink/1324172779591358,
Shen Flindell,50+,2023FLIN02,4:06.13,4:35.11,4:35.49,4:06.13,4:25.58,https://www.facebook.com/events/1316158743726095/permalink/1323898736285429,
Pete Lee,40+,2018LEEP04,5:52.57,5:48.17,6:09.08,5:48.17,5:56.61,https://www.facebook.com/events/1316158743726095/permalink/1321259523216017,
