Name,Age,WCA ID,Solve 1 15,Solve 2 15,Solve 3 15,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,5:48.11,DNF,DNF,5:48.11,DNF,https://www.facebook.com/events/1348907486924234/permalink/1353097439838572,
Stephen Burson,50+,2025BURS02,16:56.37,14:33.68,15:32.40,14:33.68,15:40.81,https://www.facebook.com/events/1348907486924234/permalink/1355344286280554,pumped to get a 4BLD mean!
