Name,Age,WCA ID,Solve 1 7,Solve 2 7,Solve 3 7,Solve 4 5,Solve 5 5,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,20.20,23.37,23.68,29.80,18.92,18.92,22.42,https://www.facebook.com/events/2070737257081600/permalink/2081047142717278,
Enrymar Cisneros,40+,2013CISN01,32.06,41.71,50.48,38.17,27.43,27.43,37.31,https://www.facebook.com/events/2070737257081600/permalink/2076041873217805,
Lisa Kucala,60+,2019KUCA01,37.38,42.22,48.23,45.17,41.06,37.38,42.82,https://www.facebook.com/events/2070737257081600/permalink/2081765345978791,
Pete Lee,40+,2018LEEP04,1:02.54,48.62,52.18,1:00.61,DNF,48.62,58.44,https://www.facebook.com/events/2070737257081600/permalink/2075585303263462,
Toby Chamberlain,50+,2022CHAM03,36.72,1:09.18,54.75,54.65,1:17.77,36.72,59.53,https://www.facebook.com/events/2070737257081600/permalink/2080465639442095,
Joe Kucala,60+,2022KUCA01,1:57.52,1:11.19,1:24.31,DNS,DNS,1:11.19,1:31.01,https://www.facebook.com/events/2070737257081600/permalink/2075040906651235,
