Name,Age,WCA ID,Solve 1 2,Solve 2 2,Solve 3 2,Solve 4 2,Solve 5 2,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,12.77,17.27,13.24,12.89,13.37,12.77,13.17,https://www.facebook.com/events/2070737257081600/permalink/2072402523581740,
Enrymar Cisneros,40+,2013CISN01,14.27,13.13,14.45,17.36,14.82,13.13,14.51,https://www.facebook.com/events/2070737257081600/permalink/2076022809886378,
Shen Flindell,50+,2023FLIN02,16.26,17.15,17.60,17.44,25.63,16.26,17.40,https://www.facebook.com/events/2070737257081600/permalink/2071595176995808,
Toby Chamberlain,50+,2022CHAM03,17.16,18.31,16.61,16.91,21.98,16.61,17.46,https://www.facebook.com/events/2070737257081600/permalink/2081226749365984,
Fred Johnson,<40,2006JOHN01,17.24,20.30,20.99,19.77,17.02,17.02,19.10,https://www.facebook.com/frederick.g.johnson/videos/913997931349202,
Koen Heltzel,40+,2003HELT01,20.25,19.74,17.38,21.28,18.25,17.38,19.41,https://www.facebook.com/events/2070737257081600/permalink/2077529029735756,
Pete Lee,40+,2018LEEP04,19.84,22.41,22.36,20.63,16.98,16.98,20.94,https://www.facebook.com/events/2070737257081600/permalink/2075574986597827,
Veronika Rose,40+,2024ROSE02,29.74,22.99,22.43,22.98,23.77,22.43,23.25,https://www.facebook.com/events/2070737257081600/permalink/2073746000114059,
Lisa Kucala,60+,2019KUCA01,24.25,23.44,26.38,36.06,24.95,23.44,25.19,https://www.facebook.com/events/2070737257081600/permalink/2081748162647176,
Joe Kucala,60+,2022KUCA01,34.62,37.83,39.73,35.46,1:12.83,34.62,37.67,https://www.facebook.com/events/2070737257081600/permalink/2075033906651935,
Sam Hodgetts,40+,2024HODG07,35.86,34.34,44.63,DNF,55.19,34.34,45.22,https://www.facebook.com/events/2070737257081600/permalink/2080179676137358,
