Name,Age,WCA ID,Solve 1 3,Solve 2 3,Solve 3 3,Solve 4 3,Solve 5 3,Best,Average,Link,Comment
Fred Johnson,<40,2006JOHN01,1:00.19,1:12.94,53.29,53.26,52.81,52.81,55.58,https://www.facebook.com/frederick.g.johnson/videos/787441380898177,
Shen Flindell,50+,2023FLIN02,1:08.14,51.52,52.68,54.87,1:03.37,51.52,56.97,https://www.facebook.com/events/966012039140622/permalink/967512078990618,
Daniel Houghton,40+,2016HOUG03,1:02.69,51.22,1:01.64,1:08.39,1:06.24,51.22,1:03.52,https://www.facebook.com/events/966012039140622/permalink/975888478152978,
