Name,Age,WCA ID,Solve 1 4,Solve 2 4,Solve 3 4,Solve 4 4,Solve 5 4,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,1:23.28,1:28.74,1:53.21,1:34.45,1:29.68,1:23.28,1:30.96,https://www.facebook.com/events/966012039140622/permalink/975888881486271,
Shen Flindell,50+,2023FLIN02,1:48.56,1:49.21,1:34.13,2:02.10,1:36.19,1:34.13,1:44.65,https://www.facebook.com/events/966012039140622/permalink/967543928987433,
Fred Johnson,<40,2006JOHN01,1:54.74,1:46.03,1:46.53,1:50.81,1:53.59,1:46.03,1:50.31,https://www.facebook.com/frederick.g.johnson/videos/2258036461397505,
Pete Lee,40+,2018LEEP04,1:53.76,2:03.78,2:09.92,1:55.74,2:07.90,1:53.76,2:02.47,https://www.facebook.com/events/966012039140622/permalink/974914281583731,
