Name,Age,WCA ID,Solve 1 15,Solve 2 15,Solve 3 15,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,5:48.54,7:39.40,7:10.26,5:48.54,6:52.73,https://www.facebook.com/events/1430904625027785/permalink/1437284284389819,
Fred Johnson,<40,2006JOHN01,28:42.93,DNS,DNS,28:42.93,DNF,https://www.facebook.com/frederick.g.johnson/videos/949925311265394,
