Name,Age,WCA ID,Solve 1 13,Solve 2 13,Solve 3 13,Best,Average,Link,Comment
Richard Taylor,50+,2015TAYL04,31,DNS,DNS,31,DNF,https://www.facebook.com/events/4408070982811900/permalink/4418179188467746,
Kristina Lim,50+,2022LIMK02,38,DNF,DNS,38,DNF,https://www.facebook.com/events/4408070982811900/permalink/4411613545790977,
