Name,Age,Ao5,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Shawn Boucké,<40,13.22,11.40,15.41,11.77,12.79,11.40,15.10,https://www.facebook.com/ShawnBoucke/videos/3240886285923132/,
Chris Hardwick,<40,13.42,12.30,13.95,12.76,13.55,14.75,12.30,https://www.facebook.com/events/880278499062375/permalink/881086485648243/,
Michael George,40+,14.28,13.08,14.59,25.87,13.84,14.41,13.08,https://www.facebook.com/events/880278499062375/permalink/884135612009997/,
Chris Wright,50+,14.51,12.76,12.76,15.35,14.64,22.02,13.54,https://www.facebook.com/events/880278499062375/permalink/884787265278165/,
Ed Connell,<40,18.29,17.49,19.81,17.49,17.96,19.35,17.55,https://www.facebook.com/events/880278499062375/permalink/883228898767335/,
Ciro Vignotto,50+,18.38,14.96,19.02,14.96,21.60,16.36,19.75,https://www.facebook.com/ciro.vignotto/videos/10221784492137123/,
Thierry Boisivon,40+,18.38,15.93,18.56,15.93,19.06,17.53,23.50,https://www.facebook.com/events/880278499062375/permalink/881982588891966/,
Jeremy Duehring,40+,18.84,16.55,16.55,20.34,18.40,19.02,19.10,https://www.facebook.com/events/880278499062375/permalink/882477718842453/,
Alex Friedman,<40,19.12,17.57,20.52,22.53,19.25,17.57,17.60,https://www.facebook.com/events/880278499062375/permalink/883238492099709/,
Geoff Hartnell,40+,19.29,17.58,18.23,18.23,25.73,21.43,17.58,https://www.facebook.com/events/880278499062375/permalink/884956875261204/,
Newton Nguyen,<10,19.61,18.56,19.06,20.15,19.63,23.45,18.56,https://www.facebook.com/events/880278499062375/permalink/881358878954337/,
Go-ho Choi,<40,20.07,17.04,23.97,19.75,17.04,22.10,18.36,https://www.facebook.com/events/880278499062375/permalink/884680935288798/,
Pete Lee,<40,20.18,18.70,19.90,23.83,20.95,19.70,18.70,https://www.facebook.com/events/880278499062375/permalink/884138125343079/,
Huy Nguyen,40+,20.72,17.19,20.90,21.31,17.19,24.36,19.96,https://www.facebook.com/events/880278499062375/permalink/881358878954337/,
Aaron Cumes,40+,21.08,19.17,21.61,19.17,21.34,20.29,22.47,https://www.facebook.com/events/880278499062375/permalink/881697385587153/,
Jae Park,40+,24.76,21.76,25.41,24.38,26.25,24.49,21.76,https://www.facebook.com/events/880278499062375/permalink/881342645622627/,
Jang Junho (장준호),40+,28.25,26.94,28.71,30.98,29.07,26.98,26.94,https://www.facebook.com/events/880278499062375/permalink/884489028641322/,
Jan Adams-Fielding,40+,31.76,28.99,32.25,29.65,45.30,33.14,29.88,https://www.facebook.com/events/880278499062375/permalink/884249048665320/,
Joffie Berkowitz,50+,32.68,25.79,41.46,31.26,38.47,25.79,28.33,https://www.facebook.com/events/880278499062375/permalink/884736665283225/,
Lisa Kucala,50+,33.61,27.53,30.84,39.14,39.86,30.85,27.53,https://www.facebook.com/events/880278499062375/permalink/884904821933076/,
Daniel Smith,50+,34.37,28.30,30.91,40.18,32.03,40.62,28.30,https://www.facebook.com/events/880278499062375/permalink/885061715250720/,
Timothy Salay,40+,39.87,35.44,44.43,39.08,35.44,36.16,44.37,https://www.facebook.com/events/880278499062375/permalink/881701672253391/,
David Burchill,50+,41.16,33.03,33.03,45.61,43.93,35.11,44.46,https://www.facebook.com/events/880278499062375/permalink/884812808608944/,
