Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Yi-Wei Chen,40+,2020CHEN34,DNF,32,DNF,32,DNF,https://www.facebook.com/events/1517328919014771/permalink/1521741155240214,
Kristina Lim,50+,2022LIMK02,DNF,42,DNS,42,DNF,https://www.facebook.com/events/1517328919014771/permalink/1520489532032043,
