Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,57.44,55.16,51.77,1:06.99,54.52,51.77,55.71,https://www.facebook.com/events/699260168471197/permalink/707102077687006,
Enrymar Cisneros,<40,2013CISN01,1:01.40,54.53,51.56,1:01.12,1:03.79,51.56,59.02,https://www.facebook.com/events/699260168471197/permalink/708556404208240,
Chris Looney,<40,2022LOON02,58.50,1:07.89,1:02.51,1:23.50,1:07.19,58.50,1:05.86,https://www.facebook.com/chris.looney/videos/5509311475863537,
Yi-Wei Chen,40+,,58.97,1:14.70,1:16.01,1:16.00,1:02.88,58.97,1:11.19,https://www.facebook.com/events/699260168471197/permalink/705212614542619,
Glyn Brown,40+,,1:14.95,1:08.93,1:14.22,1:12.33,1:16.21,1:08.93,1:13.83,https://www.facebook.com/events/699260168471197/permalink/708451020885445,
Dan Smith,50+,2018SMIT42,1:38.12,1:15.49,1:22.87,1:17.16,1:16.34,1:15.49,1:18.79,https://www.facebook.com/events/699260168471197/permalink/707864974277383,
Mickey Doyle,40+,2021DOYL02,1:24.92,1:33.17,1:25.87,1:17.93,1:36.34,1:17.93,1:27.99,https://www.facebook.com/events/699260168471197/permalink/708016687595545,
Mark Cordell,40+,2022CORD03,3:21.47,2:04.39,2:16.92,DNS,DNS,2:04.39,2:34.26,https://www.facebook.com/events/699260168471197/permalink/708639407533273,
