Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,40.70,37.63,32.07,37.70,34.94,32.07,36.76,https://www.facebook.com/events/563573978559176/permalink/571872061062701,
Yi-Wei Chen,40+,,36.77,1:00.13,54.77,38.06,39.48,36.77,44.10,https://www.facebook.com/events/563573978559176/permalink/568904041359503,
Mickey Doyle,40+,2021DOYL02,1:06.34,1:21.62,1:09.51,DNS,DNS,1:06.34,1:12.49,https://www.facebook.com/events/563573978559176/permalink/571397951110112,
