Name,Age,WCA ID,Solve 1 2,Solve 2 2,Solve 3 2,Solve 4 2,Solve 5 2,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,14.76,13.36,13.87,13.44,11.91,11.91,13.56,https://www.facebook.com/events/25406338259048847/permalink/25524761013873237,
Enrymar Cisneros,40+,2013CISN01,13.45,16.67,13.75,17.43,13.29,13.29,14.62,https://www.facebook.com/events/25406338259048847/permalink/25450803577935648,
Daniel Houghton,40+,2016HOUG03,13.48,20.48,14.18,13.36,17.30,13.36,14.99,https://www.facebook.com/events/25406338259048847/permalink/25499432596406079,
Toby Chamberlain,50+,2022CHAM03,16.19,14.34,13.08,20.02,19.19,13.08,16.57,https://www.facebook.com/events/25406338259048847/permalink/25520551397627532,
Shen Flindell,50+,2023FLIN02,16.28,17.75,14.62,27.04,20.08,14.62,18.04,https://www.facebook.com/events/25406338259048847/permalink/25502115456137793,
Veronika Rose,40+,2024ROSE02,20.99,21.98,23.03,20.91,20.94,20.91,21.30,https://www.facebook.com/events/25406338259048847/permalink/25463435673339105,
Pete Lee,40+,2018LEEP04,19.17,21.61,21.59,22.89,21.97,19.17,21.72,https://www.facebook.com/events/25406338259048847/permalink/25515549294794409,
Brad Deegan,40+,2023DEEG01,22.70,31.05,23.89,27.65,26.44,22.70,25.99,https://www.facebook.com/events/25406338259048847/permalink/25453342687681737,
Lisa Kucala,60+,2019KUCA01,30.04,30.74,26.26,22.85,25.18,22.85,27.16,https://www.facebook.com/events/25406338259048847/permalink/25499446799737992,
Joe Kucala,60+,2022KUCA01,41.14,38.90,40.35,46.22,39.72,38.90,40.40,https://www.facebook.com/events/25406338259048847/permalink/25499616409721031,
