Name,Age,WCA ID,Solve 1 5,Solve 2 5,Solve 3 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,2:45.16,2:52.39,2:53.19,2:45.16,2:50.25,https://www.facebook.com/events/3635598963248617/permalink/3647447198730460,
Shen Flindell,50+,2023FLIN02,3:27.26,3:12.65,3:26.45,3:12.65,3:22.12,https://www.facebook.com/events/3635598963248617/permalink/3640807012727812,
Enrymar Cisneros,40+,2013CISN01,3:38.57,3:29.31,4:09.85,3:29.31,3:45.91,https://www.facebook.com/events/3635598963248617/permalink/3643698199105360,
Lisa Kucala,60+,2019KUCA01,4:48.02,5:29.32,DNS,4:48.02,DNF,https://www.facebook.com/events/3635598963248617/permalink/3649760285165818,
Brad Deegan,40+,2023DEEG01,6:36.78,6:36.80,DNS,6:36.78,DNF,https://www.facebook.com/events/3635598963248617/permalink/3641789945962852,
