Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Shen Flindell,50+,2023FLIN02,11,9,52:17,https://www.facebook.com/events/1202135511793512/permalink/1204338378239892,
Glyn Brown,40+,2023BROW47,6,5,53:39,https://www.facebook.com/events/1202135511793512/permalink/1205901141416949,
Toby Chamberlain,50+,2022CHAM03,9,3,40:55,https://www.facebook.com/events/1202135511793512/permalink/1203526564987740,
