Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,1:22.01,1:23.83,1:30.29,1:22.01,1:25.38,https://www.facebook.com/events/1202135511793512/permalink/1204564751550588,
Toby Chamberlain,50+,2022CHAM03,1:35.94,1:33.77,1:51.26,1:33.77,1:40.32,https://www.facebook.com/events/1202135511793512/permalink/1204599758213754,
