Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,12.19,13.62,13.68,13.43,12.30,12.19,13.12,https://www.facebook.com/events/786804792820217/permalink/797826128384750,
Chris Looney,<40,2022LOON02,15.46,15.56,18.36,24.61,14.71,14.71,16.46,https://www.facebook.com/chris.looney/videos/193842613564997,
Daniel Houghton,40+,2016HOUG03,13.90,17.42,16.73,17.78,15.93,13.90,16.69,https://www.facebook.com/events/751816416413742/permalink/757733185822065,
Ed Connell,<40,2018CONN04,20.70,16.27,20.45,19.58,18.82,16.27,19.62,https://www.facebook.com/events/751816416413742/permalink/759574172304633,ZZ
Toby Chamberlain,50+,2022CHAM03,19.71,16.97,20.25,21.34,19.12,16.97,19.69,https://www.facebook.com/events/542713531136099/permalink/548312373909548,
JM Tambaoan,40+,,19.37,20.00,22.52,22.13,19.28,19.28,20.50,https://www.facebook.com/events/751816416413742/permalink/756373162624734,
Mark Cordell,40+,2022CORD03,21.87,25.55,25.60,22.59,22.63,21.87,23.59,https://www.facebook.com/events/751816416413742/permalink/755926872669363,
Gordon Holey,40+,2021HOLE01,26.39,24.93,25.38,21.71,24.46,21.71,24.92,https://www.facebook.com/766997877/videos/250718377630088,
Mickey Doyle,40+,2021DOYL02,29.13,23.45,22.69,29.04,21.29,21.29,25.06,https://www.facebook.com/events/751816416413742/permalink/759466635648720,
Lisa Kucala,50+,2019KUCA01,30.23,37.18,20.59,26.81,22.29,20.59,26.44,https://www.facebook.com/events/751816416413742/permalink/758984079030309,
Dan Smith,50+,2018SMIT42,30.29,27.74,29.28,23.73,25.21,23.73,27.41,https://www.facebook.com/events/751816416413742/permalink/759626742299376,
