Name,Age,WCA ID,Solve 1 8,Solve 2 8,Solve 3 8,Solve 4 6,Solve 5 6,Best,Average,Link,Comment
Pete Lee,40+,2018LEEP04,1:09.79,1:17.79,1:18.48,1:10.01,1:06.09,1:06.09,1:12.53,https://www.facebook.com/events/1343772401284297/permalink/1345084107819793,
Veronika Rose,40+,2024ROSE02,1:35.55,1:29.31,1:13.95,1:39.49,1:31.37,1:13.95,1:32.07,https://www.facebook.com/events/1343772401284297/permalink/1346006347727569,
Fred Johnson,<40,2006JOHN01,1:47.29,1:36.17,1:54.58,1:27.92,1:50.04,1:27.92,1:44.50,https://www.facebook.com/frederick.g.johnson/videos/3530863043748640,
Shen Flindell,50+,2023FLIN02,2:05.79,1:56.24,1:51.52,1:31.61,1:57.50,1:31.61,1:55.09,https://www.facebook.com/events/1343772401284297/permalink/1348854157442788,
Danielle Kay,40+,2023KAYD01,2:02.47,2:05.92,2:11.30,2:11.24,2:11.42,2:02.47,2:09.48,https://www.facebook.com/events/1343772401284297/permalink/1351429870518550,
