Name,Age,WCA ID,Solve 1 11,Solve 2 11,Solve 3 11,Solve 4 9,Solve 5 9,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,39.77,42.36,36.13,36.12,39.04,36.12,38.31,https://www.facebook.com/events/1057998416768467/permalink/1064465496121759,
Fred Johnson,<40,2006JOHN01,44.48,43.62,41.59,54.86,47.95,41.59,45.35,https://www.facebook.com/frederick.g.johnson/videos/1702878090931016,
Danielle Kay,40+,2023KAYD01,1:17.49,1:04.52,1:18.38,DNS,DNS,1:04.52,1:13.46,https://www.facebook.com/events/1057998416768467/permalink/1067445602490415,
