Name,Age,WCA ID,Solve 1 12,Solve 2 12,Solve 3 12,Solve 4 10,Solve 5 10,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,9.71,8.92,9.97,8.53,9.22,8.53,9.28,https://www.facebook.com/events/1057998416768467/permalink/1060302586538050,
Veronika Rose,40+,2024ROSE02,10.74,10.13,9.69,10.35,10.04,9.69,10.17,https://www.facebook.com/events/1057998416768467/permalink/1061763483058627,
Danielle Kay,40+,2023KAYD01,9.29,DNF,9.51,8.67,12.06,8.67,10.29,https://www.facebook.com/events/1057998416768467/permalink/1069025318999110,
Fred Johnson,<40,2006JOHN01,12.61,13.50,11.25,13.74,11.63,11.25,12.58,https://www.facebook.com/frederick.g.johnson/videos/1079378081117000,
Pete Lee,40+,2018LEEP04,12.56,25.25,14.11,14.23,13.45,12.56,13.93,https://www.facebook.com/events/1057998416768467/permalink/1061586003076375,
