Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,53.49,1:04.36,54.53,1:00.22,51.83,51.83,56.08,https://www.facebook.com/events/496466003310019/permalink/499472713009348,
Shen Flindell,50+,2023FLIN02,1:01.59,59.45,57.78,59.12,1:03.24,57.78,1:00.05,https://www.facebook.com/745394767/videos/1630268831699758,
Chris Wright,50+,2011WRIG01,57.70,1:03.15,59.37,58.63,1:07.53,57.70,1:00.38,https://www.facebook.com/events/496466003310019/permalink/499678936322059,
Mickey Doyle,50+,2021DOYL02,1:23.19,1:33.00,1:15.59,1:20.19,1:21.38,1:15.59,1:21.59,https://www.facebook.com/events/496466003310019/permalink/506191572337462,
Dan Smith,50+,2018SMIT42,1:21.27,1:29.42,1:31.04,1:27.76,1:32.07,1:21.27,1:29.41,https://www.facebook.com/events/496466003310019/permalink/504690312487588,
Lisa Kucala,50+,2019KUCA01,1:34.14,1:42.55,2:02.31,DNS,DNS,1:34.14,1:46.33,https://www.facebook.com/events/496466003310019/permalink/504153689207917,
