Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,28,30,30,28,29.33,https://www.facebook.com/events/1839966109492250/permalink/1841571262665068,
Ben Coppin,40+,2013COPP01,30,27,DNF,27,DNF,https://www.facebook.com/events/1839966109492250/permalink/1840621902760004,My first DNF in 79 consecutive attempts. :-(
Yi-Wei Chen,40+,2020CHEN34,36,DNS,DNS,36,DNF,https://www.facebook.com/events/1839966109492250/permalink/1845853188903542,
Anthony Rochester,40+,2019ROCH03,44,DNS,DNS,44,DNF,https://www.facebook.com/events/1839966109492250/permalink/1843320692490125,
Chris Thames,<40,2019THAM05,60,DNS,DNS,60,DNF,https://www.facebook.com/events/1839966109492250/permalink/1846108955544632,
