Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,12.25,14.02,12.16,10.78,15.88,10.78,12.81,https://www.facebook.com/events/200054195285035/permalink/208542711102850,
Anthony Rochester,40+,2019ROCH03,12.91,15.38,12.48,11.14,17.55,11.14,13.59,https://www.facebook.com/events/200054195285035/permalink/201414605148994,
Lisa Kucala,50+,2019KUCA01,16.97,15.18,14.82,13.35,15.13,13.35,15.04,https://www.facebook.com/events/200054195285035/permalink/208541621102959,
