Name,Age,Average,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link
Shawn Boucké,<40,14.42,13.84,18.31,15.38,14.03,11.31,https://www.facebook.com/ShawnBoucke/videos/3054435071234922/
Michael George,40+,15.65,12.10,19.12,16.70,14.50,15.74,https://www.facebook.com/michael.george.545/videos/10212925298047536/
Go-ho Choi,<40,15.94,12.76,15.93,14.87,18.70,17.01,https://www.facebook.com/ChoiGoho/videos/2834659466591529/
Andy Nicholls,40+,18.49,19.52,18.23,17.72,16.57,24.60,https://www.facebook.com/groups/1604105099735401/permalink/2134828513329721/
Geoff Hartnell,40+,19.20,18.49,18.04,21.42,21.07,17.41,https://www.facebook.com/groups/1604105099735401/permalink/2139250239554215/
Jeremy Duehring,40+,21.66,19.74,17.80,22.39,23.66,22.86,https://www.facebook.com/groups/1604105099735401/permalink/2134403116705594/
Aaron Cumes,40+,21.68,21.02,22.60,30.69,20.61,21.42,https://www.facebook.com/groups/1604105099735401/permalink/2133654140113825/
Pete Lee,<40,22.24,21.07,22.53,30.48,23.13,20.17,https://www.facebook.com/pete.lee.9003/videos/2505499226227218/
Isak Majer,<40,22.72,17.30,22.13,23.37,22.66,31.93,https://www.facebook.com/groups/1604105099735401/permalink/2137726009706638/
Jae Park,40+,23.58,23.38,22.50,24.65,22.71,25.90,https://www.facebook.com/groups/1604105099735401/permalink/2135450339934205/
Matthew Hart,<40,24.96,23.80,22.72,22.91,28.18,36.89,https://www.facebook.com/bazosoft/videos/10221648844229649/
Huy Nguyen,40+,25.02,23.17,24.74,DNF,22.48,27.14,https://www.facebook.com/groups/1604105099735401/permalink/2138700662942506/
Jamie Brady (Deansie),<40,27.43,29.45,26.61,27.72,23.94,27.95,https://www.facebook.com/groups/1604105099735401/permalink/2138217702990802/
Adam Robson,<40,30.08,25.89,41.29,29.30,29.96,30.97,https://www.facebook.com/groups/1604105099735401/permalink/2138737352938837/
Robert Summerfield,40+,32.17,23.34,23.10,29.61,44.70,43.56,https://www.facebook.com/rob.summerfield.33/videos/10157696250581071/
Daniel Smith,50+,34.15,34.83,36.07,46.79,31.55,30.56,https://www.facebook.com/groups/1604105099735401/permalink/2137190183093554/
David Burchill,50+,42.08,49.36,40.65,43.76,41.83,40.09,https://www.facebook.com/groups/1604105099735401/permalink/2137134636432442/
Jan Adams-Fielding,40+,42.93,35.76,57.95,50.57,34.36,42.46,https://www.facebook.com/jan.adamsfielding/videos/10156747496331889/
Peter Douthwright,50+,44.11,45.02,34.83,45.93,45.67,41.63,https://www.facebook.com/peter.douthwright/videos/10156470062592396/
Joshua M. Woodward,40+,50.72,53.96,1:04.01,44.30,53.65,44.56,https://www.facebook.com/joshua.m.woodward.9/videos/10157593929510342/
Jo Cocco,40+,1:00.84,1:05.25,58.80,48.48,58.48,1:17.61,https://www.facebook.com/JoCocco/videos/10156810258257109/
