Name,Age,WCA ID,Solve 1 6,Solve 2 6,Solve 3 6,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,4:34.84,4:31.58,5:13.18,4:31.58,4:46.53,https://www.facebook.com/events/4078880872412041/permalink/4083589788607816,
Daniel Houghton,40+,2016HOUG03,4:43.61,4:43.10,5:01.29,4:43.10,4:49.33,https://www.facebook.com/events/4078880872412041/permalink/4084735418493253,
