Name,Age,WCA ID,Solve 1 13,Solve 2 13,Solve 3 13,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,20,26,26,20,24.00,https://www.facebook.com/events/2441682956610232/permalink/2443304249781436,
Marius Rombout Ferreira van Riemsdijk,50+,2014RIEM01,29,30,35,29,31.33,https://www.facebook.com/events/2441682956610232/permalink/2444823909629470,
Fred Johnson,<40,2006JOHN01,32,48,37,32,39.00,https://www.facebook.com/events/2441682956610232/permalink/2445532316225296,
Shen Flindell,50+,2023FLIN02,34,31,DNF,31,DNF,https://www.facebook.com/events/2441682956610232/permalink/2450037425774785,
Kristina Lim,50+,2022LIMK02,35,DNS,DNS,35,DNF,https://www.facebook.com/events/856123937143434/permalink/866816599407501,
