Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
JM Tambaoan,40+,2023TAMB01,9:10.99,8:30.38,9:19.35,8:30.38,9:00.24,https://www.facebook.com/events/310216218066087/permalink/317071197380589,
Glyn Brown,40+,,6:17.84,5:52.41,DNF,5:52.41,DNF,https://www.facebook.com/events/310216218066087/permalink/316971167390592,
