Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Chris Looney,<40,2022LOON02,8.50,8.50,6.36,10.49,14.29,6.36,9.16,https://www.facebook.com/chris.looney/videos/1369807203599770,
Dan Smith,50+,2018SMIT42,8.85,9.82,6.98,9.40,12.68,6.98,9.36,https://www.facebook.com/events/902902514362571/permalink/908352823817540,
Mark Cordell,40+,2022CORD03,10.77,9.65,9.30,12.31,12.82,9.30,10.91,https://www.facebook.com/events/902902514362571/permalink/910654333587389,
Gordon Holey,40+,2021HOLE01,12.80,13.82,17.03,11.64,22.77,11.64,14.55,https://www.facebook.com/766997877/videos/152643347652124,
Yi-Wei Chen,40+,,18.14,27.63,12.85,12.19,17.18,12.19,16.06,https://www.facebook.com/events/902902514362571/permalink/904623654190457,
Michael Amarello,50+,2022AMAR09,22.18,21.91,44.76,28.30,17.83,17.83,24.13,https://www.facebook.com/michael.amarello/videos/1979486362443609,
