Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,1:27.09,1:36.07,1:40.07,1:34.85,1:28.15,1:27.09,1:33.02,https://www.facebook.com/events/477312563557358/permalink/485230306098917,
Geoff Hartnell,40+,2017HART06,1:50.21,1:45.20,1:38.60,1:40.57,1:35.27,1:35.27,1:41.46,https://www.facebook.com/events/477312563557358/permalink/483163736305574,
Jo Cocco,40+,,3:33.63,3:33.17,3:42.66,DNS,DNS,3:33.17,3:36.48,https://www.facebook.com/584947108/videos/10157961681677109,As so close to cut-off did Mo3
JM Tambaoan,40+,,4:09.80,3:49.76,4:13.97,DNS,DNS,3:49.76,4:04.51,https://www.facebook.com/events/477312563557358/permalink/484353596186588,
Yi-Wei Chen,40+,2020CHEN34,5:17.08,5:07.18,DNS,DNS,DNS,5:07.18,DNF,https://www.facebook.com/events/477312563557358/permalink/482552966366651,
