Name,Age,WCA ID,Solve 1 16,Solve 2 16,Solve 3 16,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,DNF,DNF,16:38.44,16:38.44,DNF,https://www.facebook.com/events/25201027762872988/permalink/25285772091065221,
Stephen Burson,50+,2025BURS02,DNF,54:29.50,DNF,54:29.50,DNF,https://www.facebook.com/events/25201027762872988/permalink/25288584620783968,"First ever successful 5BLD! 54:29. The other two solves were not close, did not include the videos of them."
