Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,5.16,4.75,5.08,4.42,4.60,4.42,4.81,https://www.facebook.com/events/1604758584053522/permalink/1614670329729014,
Pete Lee,40+,2018LEEP04,8.96,9.28,6.72,5.43,7.81,5.43,7.83,https://www.facebook.com/events/1604758584053522/permalink/1613779159818131,
Daniel Houghton,40+,2016HOUG03,7.33,10.17,7.92,5.56,8.75,5.56,8.00,https://www.facebook.com/events/1604758584053522/permalink/1609498526912861,
Paweł Zok,40+,2024ZOKP01,8.76,9.04,8.47,16.74,10.44,8.47,9.41,https://www.facebook.com/events/1604758584053522/permalink/1613153446547369,
Shen Flindell,50+,2023FLIN02,10.35,12.76,10.20,8.14,10.29,8.14,10.28,https://www.facebook.com/events/1604758584053522/permalink/1613991459796901,
Kristina Lim,50+,2022LIMK02,14.78,10.81,7.89,8.58,30.63,7.89,11.39,https://www.facebook.com/events/1604758584053522/permalink/1611637990032248,
