Name,Age,WCA ID,Solve 1 5,Solve 2 5,Solve 3 5,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,3:00.96,2:58.46,3:21.37,2:58.46,3:06.93,https://www.facebook.com/events/1166515255682208/permalink/1174110964922637,
Daniel Houghton,40+,2016HOUG03,3:17.01,3:11.11,2:59.91,2:59.91,3:09.34,https://www.facebook.com/events/1166515255682208/permalink/1171192158547851,
