Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Chris Wright,50+,2011WRIG01,13.49,15.50,13.84,15.70,15.49,13.49,14.94,https://www.facebook.com/events/947093233792978/permalink/949066083595693,
Daniel Houghton,40+,2016HOUG03,16.00,15.02,16.11,DNF,15.84,15.02,15.98,https://www.facebook.com/events/947093233792978/permalink/950708540098114,
Ed Connell,40+,2018CONN04,17.44,16.60,17.84,20.86,15.99,15.99,17.29,https://www.facebook.com/events/947093233792978/permalink/951338596701775,
Toby Chamberlain,50+,2022CHAM03,17.94,15.50,21.66,17.19,16.88,15.50,17.34,https://www.facebook.com/events/947093233792978/permalink/954192636416371,
Glyn Brown,40+,2023BROW47,16.02,21.17,19.35,14.12,18.44,14.12,17.94,https://www.facebook.com/events/947093233792978/permalink/950298963472405,
Pete Lee,40+,2018LEEP04,17.01,23.21,19.89,19.59,16.20,16.20,18.83,https://www.facebook.com/events/947093233792978/permalink/954332529735715,
Mickey Doyle,50+,2021DOYL02,24.20,27.26,22.82,23.75,23.09,22.82,23.68,https://www.facebook.com/events/947093233792978/permalink/954110166424618,
Dan Smith,50+,2018SMIT42,26.08,26.35,22.92,30.07,24.03,22.92,25.49,https://www.facebook.com/events/947093233792978/permalink/952403529928615,
Gordon Holey,40+,2021HOLE01,24.71,26.38,27.92,21.54,27.44,21.54,26.18,https://www.facebook.com/766997877/videos/681275117554341,
Joe Kucala,60+,2022KUCA01,51.70,44.91,50.00,41.63,41.66,41.63,45.52,https://www.facebook.com/events/947093233792978/permalink/950938176741817,
