Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,10.13,10.85,12.58,11.00,9.48,9.48,10.66,https://www.facebook.com/events/195346665532379/permalink/201984434868602,
Ed Connell,<40,2018CONN04,14.04,14.72,16.33,16.79,14.43,14.04,15.16,https://www.facebook.com/events/195346665532379/permalink/201596674907378,
Geoff Hartnell,40+,2017HART06,17.26,17.19,18.18,26.07,14.28,14.28,17.54,https://www.facebook.com/events/195346665532379/permalink/198143028586076,
Daniel Houghton,40+,2016HOUG03,16.08,21.71,16.59,22.64,15.68,15.68,18.13,https://www.facebook.com/events/195346665532379/permalink/196080392125673,
JM Tambaoan,40+,,17.04,16.05,26.89,16.64,21.12,16.05,18.27,https://www.facebook.com/events/195346665532379/permalink/199666801767032,
Pete Lee,<40,2018LEEP04,18.68,16.45,20.51,19.81,35.39,16.45,19.67,https://www.facebook.com/events/195346665532379/permalink/201973721536340,
Christoph Woittequand,40+,2005WOIT01,19.91,22.44,20.80,20.40,19.56,19.56,20.37,https://www.facebook.com/christoph.woittequand/videos/10159303696662140,Worst average in 2021
Yi-Wei Chen,40+,2020CHEN34,20.04,24.70,22.07,22.78,20.12,20.04,21.66,https://www.facebook.com/events/195346665532379/permalink/198205088579870,
Anthony Rochester,40+,2019ROCH03,21.58,30.39,19.78,17.85,24.63,17.85,22.00,https://www.facebook.com/events/195346665532379/permalink/198363425230703,
Daniel Smith,50+,2018SMIT42,23.82,27.01,25.61,27.30,30.37,23.82,26.64,https://www.facebook.com/events/195346665532379/permalink/202233171510395,
Nick Agatyn,<40,,27.33,28.13,32.91,29.57,43.25,27.33,30.20,https://www.facebook.com/757743227/videos/10161208455488228,
Lisa Kucala,50+,2019KUCA01,32.13,29.82,23.36,30.87,29.99,23.36,30.23,https://www.facebook.com/events/195346665532379/permalink/201613574905688,
Jae Park,50+,2015PARK24,34.01,28.53,38.20,38.31,30.02,28.53,34.08,https://www.facebook.com/events/195346665532379/permalink/195945662139146,
Chris Thames,<40,2019THAM05,25.57,35.96,32.92,34.15,39.12,25.57,34.34,https://www.facebook.com/events/195346665532379/permalink/198753191858393,
Mickey Doyle,40+,,37.58,43.06,37.57,37.89,45.88,37.57,39.51,https://www.facebook.com/events/195346665532379/permalink/202008288199550,
