Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Jae Park,50+,2015PARK24,15,10,55:20,https://www.facebook.com/events/333638981660304/permalink/339808137710055,
Anthony Rochester,40+,2019ROCH03,17,10,49:22,https://www.facebook.com/events/333638981660304/permalink/335076871516515,
Javier Rossi,50+,2017ROSS10,2,2,12:59,https://www.facebook.com/100000123498724/videos/4564969236850481,
Ed Connell,<40,2018CONN04,2,1,DNF,https://www.facebook.com/events/333638981660304/permalink/337432584614277,
