Name,Age,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Nick Agatyn,<40,10.14,8.93,15.98,5.32,10.86,5.32,9.97,https://www.facebook.com/757743227/videos/10161208448793228,
JM Tambaoan,40+,31.20,47.53,31.72,DNF,49.83,31.20,43.03,https://www.facebook.com/events/455121419077355/permalink/460118818577615,
