Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Marius Rombout Ferreira van Riemsdijk,40+,2014RIEM01,34,29,27,27,30.00,https://www.facebook.com/events/1415549492443459/permalink/1423801351618273,
Richard Taylor,50+,2015TAYL04,31,36,44,31,37.00,https://www.facebook.com/events/1415549492443459/permalink/1417741628890912,
Kristina Lim,50+,2022LIMK02,38,46,38,38,40.67,https://www.facebook.com/events/1415549492443459/permalink/1421316108533464,
