Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,16.32,17.89,14.78,15.72,19.16,14.78,16.64,https://www.facebook.com/events/1432335554111064/permalink/1438769583467661,
Toby Chamberlain,50+,2022CHAM03,17.01,17.92,17.40,16.44,23.89,16.44,17.44,https://www.facebook.com/events/1432335554111064/permalink/1440709203273699,
Shen Flindell,50+,2023FLIN02,21.06,17.01,21.05,18.49,16.48,16.48,18.85,https://www.facebook.com/745394767/videos/1080261167009056,
Paweł Zok,<40,2024ZOKP01,25.33,23.31,21.47,23.64,21.95,21.47,22.96,https://www.facebook.com/events/1432335554111064/permalink/1440751526602800,My country is missing in the table. I come from Poland
Dan Smith,50+,2018SMIT42,21.46,25.92,25.01,22.15,23.87,21.46,23.68,https://www.facebook.com/events/1432335554111064/permalink/1441190853225534,
Mickey Doyle,50+,2021DOYL02,22.61,33.42,24.50,25.45,19.24,19.24,24.19,https://www.facebook.com/events/1432335554111064/permalink/1440373419973944,
Lisa Kucala,60+,2019KUCA01,21.52,27.78,24.46,26.49,26.18,21.52,25.71,https://www.facebook.com/events/1432335554111064/permalink/1441264333218186,
Eric Dodson,50+,2021DODS01,30.97,25.70,39.91,23.13,29.60,23.13,28.76,https://www.facebook.com/events/1432335554111064/permalink/1433734587304494,
Adam Leyton,40+,2024LEYT01,31.22,35.46,29.03,22.92,29.33,22.92,29.86,https://www.facebook.com/events/1432335554111064/permalink/1437503400260946,
Kristina Lim,50+,2022LIMK02,39.44,39.78,32.65,33.24,39.72,32.65,37.47,https://www.facebook.com/1045330593/videos/411068908401993,
Joe Kucala,60+,2022KUCA01,41.03,42.55,42.20,52.84,1:21.45,41.03,45.86,https://www.facebook.com/events/1432335554111064/permalink/1441255639885722,
