Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Peter Andersson,60+,2013ANDE01,11,7,55:09,https://www.facebook.com/events/838621045098189/permalink/839819948311632,
Daniel Houghton,40+,2016HOUG03,4,2,23:46,https://www.facebook.com/events/838621045098189/permalink/842189894741304,
Dan Smith,50+,2018SMIT42,4,2,35:08,https://www.facebook.com/events/838621045098189/permalink/848971194063174,
Toby Chamberlain,50+,2022CHAM03,3,0,15:53,https://www.facebook.com/events/838621045098189/permalink/847556360871324,
