Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,24.35,23.26,25.93,26.92,19.45,19.45,24.51,https://www.facebook.com/events/355672432175632/permalink/360671055009103,
Fumiki Koseki,40+,2005KOSE01,25.44,30.94,29.64,27.73,32.41,25.44,29.44,https://www.facebook.com/events/355672432175632/permalink/359813561761519,
Ed Connell,<40,2018CONN04,29.92,35.04,49.24,46.88,33.80,29.92,38.57,https://www.facebook.com/events/355672432175632/permalink/359167785159430,
