Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,52.93,54.39,57.99,52.31,1:20.24,52.31,55.10,https://www.facebook.com/events/2537500386546221/permalink/2546950388934554,
Geoff Hartnell,40+,2017HART06,DNF,1:18.95,1:00.08,59.31,1:00.71,59.31,1:06.58,https://www.facebook.com/events/2537500386546221/permalink/2546042502358676,
Pete Lee,<40,2018LEEP04,1:06.77,1:10.97,1:07.49,1:05.57,1:05.72,1:05.57,1:06.66,https://www.facebook.com/events/2537500386546221/permalink/2541297586166501,
Ed Connell,<40,2018CONN04,1:11.05,1:21.76,1:11.20,1:14.33,1:13.30,1:11.05,1:12.94,https://www.facebook.com/events/2537500386546221/permalink/2546697962293130,
Daniel Smith,50+,2018SMIT42,1:20.13,1:26.57,1:23.69,1:24.76,1:15.51,1:15.51,1:22.86,https://www.facebook.com/events/2537500386546221/permalink/2547157865580473,
JM Tambaoan,40+,,1:28.16,1:24.64,2:07.20,1:26.93,1:30.01,1:24.64,1:28.37,https://www.facebook.com/events/2537500386546221/permalink/2540749969554596,
Joshua Riegel,<30,2019RIEG02,1:50.26,1:41.49,1:34.81,DNS,DNS,1:34.81,1:42.19,https://www.facebook.com/events/2537500386546221/permalink/2547075605588699,
Kerry Go,50+,2019GOKE01,2:09.49,1:41.23,1:40.14,DNS,DNS,1:40.14,1:50.29,https://www.facebook.com/events/2537500386546221/permalink/2547130648916528,
Chris Thames,<40,2019THAM05,2:10.27,1:56.96,2:17.70,DNS,DNS,1:56.96,2:08.31,https://www.facebook.com/events/2537500386546221/permalink/2542942589335334,
Jae Park,50+,2015PARK24,2:32.47,2:27.84,2:32.02,DNS,DNS,2:27.84,2:30.77,https://www.facebook.com/events/2537500386546221/permalink/2538856803077246,
