Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,10.72,13.35,11.37,11.05,8.62,8.62,11.05,https://www.facebook.com/events/849999075950147/permalink/860518028231585,
Enrymar Cisneros,<40,2013CISN01,13.45,12.43,17.21,14.18,13.32,12.43,13.65,https://www.facebook.com/events/849999075950147/permalink/860429921573729,
Ed Connell,<40,2018CONN04,17.60,15.72,13.42,18.90,17.71,13.42,17.01,https://www.facebook.com/events/849999075950147/permalink/860025968280791,
Geoff Hartnell,40+,2017HART06,16.65,16.34,16.71,18.29,18.49,16.34,17.22,https://www.facebook.com/557281693/videos/147329587399023,
Pete Lee,<40,2018LEEP04,19.37,20.96,20.37,19.39,18.91,18.91,19.71,https://www.facebook.com/events/849999075950147/permalink/856782158605172,
Toby Chamberlain,40+,,19.73,17.67,34.87,21.65,20.35,17.67,20.58,https://www.facebook.com/520891933/videos/349539123242913,
JM Tambaoan,40+,,19.69,19.59,22.01,22.16,23.99,19.59,21.29,https://www.facebook.com/events/849999075950147/permalink/860301588253229,
Huy Nguyen,40+,2019NGUY29,21.26,21.97,21.73,23.56,15.56,15.56,21.65,https://www.facebook.com/events/849999075950147/permalink/853476095602445,
Rodney Gardner,50+,2019GARD02,23.48,30.58,18.76,23.81,25.80,18.76,24.36,https://www.facebook.com/events/849999075950147/permalink/856271418656246,I don't know if I got the permalink correctly.  Sorry!
John Neo Stanley,50+,,24.63,25.75,24.13,22.86,44.65,22.86,24.84,https://www.facebook.com/events/849999075950147/permalink/854562328827155,Don't watch the last solve HAHA
Yi-Wei Chen,40+,2020CHEN34,26.05,25.28,27.04,31.26,27.08,25.28,26.72,https://www.facebook.com/events/849999075950147/permalink/854569858826402,
Lisa Kucala,50+,2019KUCA01,29.26,28.58,25.17,25.90,28.38,25.17,27.62,https://www.facebook.com/events/849999075950147/permalink/856096318673756,
Daniel Smith,50+,2018SMIT42,29.23,38.37,36.01,24.74,23.24,23.24,29.99,https://www.facebook.com/events/849999075950147/permalink/860525301564191,
