Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Geoff Hartnell,40+,2017HART06,3:56.30,3:36.08,3:44.09,3:36.08,3:45.49,https://www.facebook.com/events/770016233779888/permalink/771383613643150,
Pete Lee,<40,2018LEEP04,4:56.00,5:00.34,DNS,4:56.00,DNF,https://www.facebook.com/events/770016233779888/permalink/771528106962034,
