Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,1:56.93,1:57.54,1:56.27,2:03.98,2:03.66,1:56.27,1:59.38,https://www.facebook.com/events/770016233779888/permalink/775829929865185,
Geoff Hartnell,40+,2017HART06,1:58.02,1:57.63,2:05.78,2:00.17,2:05.15,1:57.63,2:01.11,https://www.facebook.com/events/770016233779888/permalink/772249213556590,
Michael George,40+,2015GEOR02,2:08.15,2:12.38,2:09.49,1:53.93,2:11.20,1:53.93,2:09.61,https://www.facebook.com/michael.george.545/videos/10214123849170565,
Pete Lee,<40,2018LEEP04,1:56.79,2:28.64,2:26.74,3:06.41,2:36.74,1:56.79,2:30.70,https://www.facebook.com/events/770016233779888/permalink/772326256882219,
Daniel Smith,50+,2018SMIT42,2:35.22,2:43.35,2:40.31,DNS,DNS,2:35.22,2:39.62,https://www.facebook.com/events/770016233779888/permalink/775225113259000,
Yi-Wei Chen,40+,,5:15.97,3:59.33,3:50.28,DNS,DNS,3:50.28,4:21.86,https://www.facebook.com/events/770016233779888/permalink/773987143382797,
