Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Ed Connell,<40,2018CONN04,3:55.30,3:29.75,3:08.21,3:08.21,3:31.09,https://www.facebook.com/events/1066743153928061/permalink/1070510900217953,
Toby Chamberlain,40+,,DNF,DNF,DNF,DNF,DNF,https://www.facebook.com/events/1066743153928061/permalink/1075513549717688,
