Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Glyn Brown,40+,2023BROW47,2:50.71,3:19.40,2:41.47,2:41.47,2:57.19,https://www.facebook.com/events/1448319499191380/permalink/1452390532117610,
Shen Flindell,50+,2023FLIN02,3:04.20,3:15.28,2:41.06,2:41.06,3:00.18,https://www.facebook.com/745394767/videos/1561163127821289,
Daniel Houghton,40+,2016HOUG03,3:07.87,3:19.91,2:55.83,2:55.83,3:07.87,https://www.facebook.com/events/1448319499191380/permalink/1456372585052738,
Mickey Doyle,50+,2021DOYL02,4:58.44,5:00.33,DNS,4:58.44,DNF,https://www.facebook.com/events/1448319499191380/permalink/1455662275123769,
