Name,Age,Best,Mo3,Solve 1,Solve 2,Solve 3,Link,Comment
Jae Park,40+,6:19.94,DNF,DNF,6:19.94,DNF,https://www.facebook.com/events/2624652641189887/permalink/2625297171125434/,
Chris Hardwick,<40,7:09.64,8:34.50,8:25.85,7:09.64,10:08.00,https://www.facebook.com/events/2624652641189887/permalink/2625339637787854/,
Peter Andersson,50+,12:07.77,DNF,12:07.77,14:44.42,DNF,https://www.facebook.com/events/2624652641189887/permalink/2627420757579742/,
Andy Nicholls,40+,DNF,DNF,DNF,DNF,DNF,https://www.facebook.com/events/2624652641189887/permalink/2626792320975919/,
