Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,22.44,28.91,24.32,25.99,23.57,22.44,24.63,https://www.facebook.com/events/1261538608778309/permalink/1266234504975386,
Konsta Jukka,40+,2008JUKK01,27.68,23.45,22.46,43.57,26.11,22.46,25.75,https://www.facebook.com/events/1261538608778309/permalink/1272149734383863,
Fred Johnson,<40,2006JOHN01,41.95,35.30,30.92,33.16,35.72,30.92,34.73,https://www.facebook.com/frederick.g.johnson/videos/1464945297910496,
Lisa Kucala,60+,2019KUCA01,32.64,45.97,49.67,53.68,39.62,32.64,45.09,https://www.facebook.com/events/1261538608778309/permalink/1266895421575961,
Toby Chamberlain,50+,2022CHAM03,40.37,1:06.70,1:17.01,48.27,1:10.58,40.37,1:01.85,https://www.facebook.com/events/1261538608778309/permalink/1271108177821352,
Kristina Lim,50+,2022LIMK02,54.84,1:35.45,1:05.18,DNS,DNS,54.84,1:11.82,https://www.facebook.com/events/1261538608778309/permalink/1272185514380285,
Joe Kucala,60+,2022KUCA01,1:25.60,1:28.21,1:29.61,DNS,DNS,1:25.60,1:27.81,https://www.facebook.com/events/1261538608778309/permalink/1266216931643810,
