Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,1:37.56,1:48.94,1:39.16,1:33.88,1:45.83,1:33.88,1:40.85,https://www.facebook.com/events/202563571576862/permalink/207371781096041,
Geoff Hartnell,40+,2017HART06,1:54.64,2:06.23,2:19.52,1:58.97,2:06.74,1:54.64,2:03.98,https://www.facebook.com/events/202563571576862/permalink/204709658028920,
Pete Lee,<40,2018LEEP04,2:09.09,2:15.21,2:28.68,2:29.73,2:41.81,2:09.09,2:24.54,https://www.facebook.com/events/202563571576862/permalink/204569634709589,
Ed Connell,<40,2018CONN04,2:31.40,2:26.92,2:41.82,2:35.82,2:32.57,2:26.92,2:33.26,https://www.facebook.com/events/202563571576862/permalink/207613391071880,
Yi-Wei Chen,40+,,2:38.94,2:51.52,2:45.97,DNS,DNS,2:38.94,2:45.48,https://www.facebook.com/events/202563571576862/permalink/203170668182819,
