Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,9.84,12.34,11.81,10.99,9.54,9.54,10.88,https://www.facebook.com/events/758481858355136/permalink/762453947957927,
Enrymar Cisneros,<40,2013CISN01,13.43,15.97,15.40,14.91,13.46,13.43,14.59,https://www.facebook.com/events/758481858355136/permalink/762685037934818,
Fumiki Koseki,40+,2005KOSE01,14.22,15.69,18.82,16.16,15.49,14.22,15.78,https://www.facebook.com/events/758481858355136/permalink/762137537989568,
Ed Connell,<40,2018CONN04,16.55,16.11,15.26,16.65,15.89,15.26,16.18,https://www.facebook.com/events/758481858355136/permalink/762336287969693,
Geoff Hartnell,40+,2017HART06,18.42,20.53,18.46,17.83,15.99,15.99,18.24,https://www.facebook.com/events/758481858355136/permalink/760166784853310,
Christoph Woittequand,40+,2005WOIT01,19.28,17.53,17.03,25.09,19.84,17.03,18.88,https://www.facebook.com/798047139/videos/10158997233967140,
Pete Lee,<40,2018LEEP04,17.88,20.02,18.08,19.91,19.26,17.88,19.08,https://www.facebook.com/events/758481858355136/permalink/761732801363375,
Yi-Wei Chen,40+,,16.29,23.08,18.66,18.92,20.80,16.29,19.46,https://www.facebook.com/events/758481858355136/permalink/761815598021762,
Huy Nguyen,40+,2019NGUY29,24.40,24.54,DNF,23.80,21.78,21.78,24.25,https://www.facebook.com/events/758481858355136/permalink/762597614610227,
Greg Simmons,<40,,21.96,19.21,29.15,22.51,29.33,19.21,24.54,https://www.facebook.com/events/758481858355136/permalink/762615547941767,
Daniel Smith,50+,2018SMIT42,29.83,26.06,27.34,25.91,26.34,25.91,26.58,https://www.facebook.com/events/758481858355136/permalink/762665831270072,
Chris Thames,<40,2019THAM05,34.96,34.32,32.54,35.40,28.46,28.46,33.94,https://www.facebook.com/events/758481858355136/permalink/762015128001809,
