Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,24.63,26.09,48.13,27.60,28.27,24.63,27.32,https://www.facebook.com/events/415132489930417/permalink/419470772829922,
Daniel Smith,50+,2018SMIT42,25.23,22.68,35.03,36.67,28.28,22.68,29.51,https://www.facebook.com/events/758481858355136/permalink/762665831270072,
