Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Chris Hardwick,<40,2003HARD01,DNF,6:35.59,5:51.72,5:51.72,DNF,https://www.facebook.com/events/2761297674142255/permalink/2768038040134885,
Peter Andersson,50+,2013ANDE01,DNF,DNF,DNF,DNF,DNF,https://www.facebook.com/events/2761297674142255/permalink/2763717647233591,
