Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Michael George,40+,22.57,20.92,22.37,20.92,23.99,24.34,21.36,https://www.facebook.com/events/684510792316675?view=permalink&id=684649052302849,This average is sub-senior WR (22.61)
Thierry Boisivon,40+,34.80,25.02,25.02,33.08,45.05,40.78,30.55,https://www.facebook.com/events/684510792316675?view=permalink&id=687069845394103,
Geoff Hartnell,40+,35.10,28.58,37.63,32.99,36.23,36.10,28.58,https://www.facebook.com/events/684510792316675?view=permalink&id=686046518829769,
Chris Wright,50+,39.76,35.64,39.83,42.64,47.91,35.64,36.81,https://www.facebook.com/events/684510792316675?view=permalink&id=685546418879779,
Yoann Lecoeur,40+,39.94,34.49,34.49,44.62,44.73,35.21,39.99,https://www.facebook.com/events/684510792316675?view=permalink&id=688048245296263,
Jamie Brady (Deansie),<40,45.72,40.56,52.23,1:01.18,41.51,43.42,40.56,https://www.facebook.com/events/684510792316675?view=permalink&id=687277482040006,
Jeremy Duehring,40+,50.98,38.20,1:03.34,48.58,1:02.24,42.13,38.20,https://www.facebook.com/events/684510792316675?view=permalink&id=688923495208738,
Pete Lee,<40,56.88,52.12,54.04,1:00.99,52.12,57.47,59.14,https://www.facebook.com/events/684510792316675?view=permalink&id=688409441926810,
Jang Junho (장준호),40+,1:18.58,1:00.42,1:37.67,1:27.72,1:22.07,1:05.96,1:00.42,https://www.facebook.com/events/684510792316675?view=permalink&id=688783208556100,1:00.42 PB
Jo Cocco,40+,1:45.62,1:37.14,1:37.14,1:57.12,1:41.89,1:37.86,DNF,https://www.facebook.com/events/164742401163863?view=permalink&id=168022254169211,
Peter Douthwright,50+,1:57.43,1:27.21,2:36.77,1:48.32,1:27.21,DNS,DNS,https://www.facebook.com/events/684510792316675?view=permalink&id=688822721885482,
