Name,Age,Best,Mo3,Solve 1,Solve 2,Solve 3,Link,Comment
Jae Park,40+,1:10.91,DNF,1:10.91,DNF,DNF,https://www.facebook.com/events/534758690547855/permalink/534848220538902/,
Grzegorz Pacewicz,40+,1:11.73,DNF,DNF,1:11.73,DNF,https://www.facebook.com/events/534758690547855/permalink/537192693637788/,
Thierry Boisivon,40+,1:47.09,DNF,1:47.09,DNF,DNF,https://www.facebook.com/events/534758690547855/permalink/536491417041249/,
Huy Nguyen,40+,1:59.37,2:06.80,2:07.00,2:14.03,1:59.37,https://www.facebook.com/events/534758690547855/permalink/535432553813802/,
Anthony Rochester,40+,2:07.07,DNF,DNF,2:07.07,DNF,https://www.facebook.com/events/534758690547855/permalink/534800373877020/,
Jeremy Duehring,40+,2:31.65,DNF,DNF,2:31.65,DNS,https://www.facebook.com/events/534758690547855/permalink/538273463529711/,
Javier Rossi,50+,3:35.63,DNF,DNF,3:35.63,DNF,https://www.facebook.com/events/534758690547855/permalink/535205530503171/,
