Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Shawn Boucké,<40,13.77,11.14,15.44,13.77,17.58,11.14,12.10,https://www.facebook.com/events/535188653858103?view=permalink&id=535472060496429,
Michael George,40+,15.97,14.62,14.62,16.99,16.20,26.34,14.72,https://www.facebook.com/events/535188653858103?view=permalink&id=535317900511845,
Thierry Boisivon,40+,17.46,16.63,22.05,17.53,17.18,17.68,16.63,https://www.facebook.com/events/535188653858103?view=permalink&id=536876093689359,
Geoff Hartnell,40+,18.24,16.81,17.48,16.81,17.95,24.42,19.31,https://www.facebook.com/events/535188653858103?view=permalink&id=538266426883659,
Alex Friedman,<40,18.54,15.71,20.14,21.87,17.98,17.50,15.71,https://www.facebook.com/events/535188653858103?view=permalink&id=538721276838174,
Newton Nguyen,<10,18.55,15.91,20.38,15.91,16.58,26.53,18.69,https://www.facebook.com/events/535188653858103?view=permalink&id=535620563814912,
Ciro Vignotto,50+,18.84,14.59,14.59,19.47,18.31,18.83,19.39,https://www.facebook.com/events/535188653858103?view=permalink&id=535791267131175,
Aaron Cumes,40+,20.50,18.22,22.37,19.22,33.72,18.22,19.93,https://www.facebook.com/events/535188653858103?view=permalink&id=535748163802152,
Pete Lee,<40,21.00,17.63,17.63,23.70,19.72,23.97,19.59,https://www.facebook.com/events/535188653858103?view=permalink&id=537623786947923,
Jason Green,40+,21.18,18.51,23.55,24.71,18.63,21.37,18.51,https://www.facebook.com/jasongreenbowler/videos/10163336818435425,
Huy Nguyen,40+,21.93,20.07,22.10,20.07,23.98,21.60,22.09,https://www.facebook.com/events/535188653858103?view=permalink&id=535620563814912,
Anthony Rochester,40+,22.81,20.57,24.50,22.76,25.14,21.19,20.57,https://www.facebook.com/events/535188653858103?view=permalink&id=535216167188685,
Adam Robson,<40,24.09,22.30,22.30,24.32,25.29,35.30,22.65,https://www.facebook.com/events/535188653858103?view=permalink&id=536943720349263,
Jae Park,40+,26.83,23.24,28.45,25.24,39.68,26.79,23.24,https://www.facebook.com/events/535188653858103?view=permalink&id=538386903538278,
Grzegorz Pacewicz,40+,26.90,25.17,26.90,25.53,28.27,25.17,34.35,https://www.facebook.com/events/535188653858103?view=permalink&id=537945880249047,
Joffie Berkowitz,50+,28.76,28.11,28.68,29.42,28.11,29.91,28.18,https://www.facebook.com/events/535188653858103?view=permalink&id=538649213512047,
Jan Adams-Fielding,40+,30.03,28.72,29.13,30.62,28.72,30.34,34.12,https://www.facebook.com/events/535188653858103?view=permalink&id=538779506832351,
Lisa Kucala,50+,33.02,28.28,33.63,33.80,34.39,28.28,31.62,https://www.facebook.com/events/535188653858103?view=permalink&id=536102793766689,
