Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Shawn Boucké,<40,51.59,46.87,48.40,52.96,1:08.69,53.41,46.87,https://www.facebook.com/ShawnBoucke/videos/3250728604938900/,
Michael George,40+,1:01.68,57.39,1:14.83,1:00.75,58.75,1:05.54,57.39,https://www.facebook.com/events/543220986391837/permalink/545740879473181/,
Ciro Vignotto,50+,1:04.83,57.74,1:09.57,57.74,1:06.34,1:00.48,1:07.66,https://www.facebook.com/events/543220986391837/permalink/543799419667327/,
Geoff Hartnell,40+,1:14.79,1:07.38,1:07.38,1:14.90,1:18.77,1:11.34,1:18.12,https://www.facebook.com/events/543220986391837/permalink/546333302747272/,
Aaron Cumes,40+,1:23.06,1:12.57,1:13.95,1:34.55,1:12.57,1:46.28,1:20.69,https://www.facebook.com/events/543220986391837/permalink/546221016091834/,
Thierry Boisivon,40+,1:24.33,1:14.43,1:21.03,1:22.09,1:14.43,1:29.86,DNF,https://www.facebook.com/events/538096063773916/permalink/545104916406364/,
Pete Lee,<40,1:27.21,1:17.08,1:29.41,1:28.59,1:29.92,1:17.08,1:23.63,https://www.facebook.com/events/543220986391837/permalink/545139229533346/,
