Name,Age,Best,Average,Solve 1,Solve 2,Solve 3,Link,Comment
Chris Hardwick,<40,19:27.72,DNF,19:27.72,DNF,DNF,https://www.facebook.com/events/2608037409484307/permalink/2610897932531588,
Jae Park,40+,21:31.36,DNF,21:31.36,DNF,DNF,https://www.facebook.com/events/2608037409484307/permalink/2608621196092595,
Andy Nicholls,40+,DNF,DNF,DNF,DNF,DNF,https://www.facebook.com/events/2608037409484307/permalink/2609996269288421,
