Name,Age,Ao5 / Mo3,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Michael George,40+,23.65,20.69,22.81,25.47,20.69,24.59,23.54,https://www.facebook.com/events/1880761498725633/permalink/1881940625274387/,
Alex Friedman,<40,24.80,21.43,21.43,25.44,25.76,25.00,23.97,https://www.facebook.com/events/1880761498725633/permalink/1881033222031794/,
Geoff Hartnell,40+,34.33,32.26,32.66,32.26,36.31,34.33,36.00,https://www.facebook.com/events/1880761498725633/permalink/1885596818242101./,
Thierry Boisivon,40+,35.60,26.19,30.97,41.72,39.97,26.19,35.86,https://www.facebook.com/events/1880761498725633/permalink/1885800074888442/,
Ed Connell,<40,37.15,32.87,37.90,32.97,40.59,46.65,32.87,https://www.facebook.com/events/1880761498725633/permalink/1885626538239129/,
Andy Nicholls,40+,49.64,34.81,42.64,34.81,53.39,52.88,1:07.83,https://www.facebook.com/events/1880761498725633/permalink/1884578361677280/,
