Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Link,Comment
Andy Nicholls,40+,5:32.91,5:29.53,5:35.56,5:33.65,5:29.53,https://www.facebook.com/events/201300894172579?view=permalink&id=202112257424776,
Geoff Hartnell,40+,6:23.25,6:05.13,6:05.13,6:49.49,6:15.14,https://www.facebook.com/events/201300894172579?view=permalink&id=202026737433328,
Pete Lee,<40,DNF,8:43.22,8:53.23,8:43.22,DNS,https://www.facebook.com/events/201300894172579?view=permalink&id=201442917491710,2 fastest ever solves
Donna Leiber,60+,DNF,18:58.28,18:58.28,20:37.07,DNS,https://www.facebook.com/events/201300894172579?view=permalink&id=204801627155839,
Aaron Cumes,40+,DNF,DNF,DNF,DNF,DNS,https://www.facebook.com/events/201300894172579?view=permalink&id=201404100828925,
